,compound,neg,neu,pos,id
901,0.8875,0.032,0.934,0.034,TX9L5bIWkII
902,-0.7503,0.036,0.931,0.032,TYXFaE0IqqI
903,-0.9919,0.077,0.902,0.022,TZkfe8gwM64
904,-0.9885,0.041,0.943,0.015,T_L31vkFfp0
905,0.8343,0.005,0.985,0.01,T_XxiWyRoHA
906,-0.7669,0.01,0.986,0.004,TbfjHLG-leM
907,0.0,0.0,1.0,0.0,TdiWgOJEDsU
908,-0.9807,0.063,0.911,0.027,Te4WWGNJtAU
909,0.9993,0.103,0.705,0.192,TeFvlVooA44
910,0.995,0.038,0.826,0.136,Tft0TxmoY0Q
911,-0.4421,0.043,0.919,0.039,Tg7RjrW2ifY
912,0.9959,0.006,0.958,0.036,Tj05i2xLysU
913,0.9655,0.004,0.979,0.017,TlTiWu0lhf4
914,0.6159,0.0,0.996,0.004,ToZ-NOnRLB4
915,0.9881,0.003,0.961,0.036,TqSPB8Vkykg
916,0.9974,0.027,0.865,0.108,Tr2inDLDfcY
917,0.2603,0.02,0.952,0.028,TrYy5Ia88lc
918,0.9989,0.008,0.944,0.048,TtP9cTqHHY0
919,1.0,0.119,0.726,0.155,Tuk04k5YLwk
920,0.9943,0.0,0.841,0.159,TvbEdN1OXPU
921,0.994,0.016,0.941,0.042,TvhMP5loa18
922,0.9488,0.015,0.952,0.032,TxC2W5HF-9c
923,0.9993,0.072,0.738,0.19,U-y6EiTJ-94
924,-0.9971,0.078,0.9,0.023,U2_NGCwXZAI
925,0.9745,0.026,0.927,0.047,U2ijqp1H1oE
926,0.5435,0.006,0.982,0.012,U5Hi28S95pc
927,0.9905,0.021,0.939,0.04,U6SuqB6-OMo
928,-0.9974,0.088,0.892,0.02,U80qA-rgmXQ
929,-0.9948,0.075,0.898,0.027,U8C3q-0C-CE
930,0.471,0.0,0.994,0.006,UHicXOngoXs
931,1.0,0.075,0.702,0.224,UIG6y3YlXc4
932,0.9935,0.003,0.931,0.067,UK1jv1yP9f0
933,0.0,0.0,1.0,0.0,UMI_KAk0440
934,0.0,0.0,1.0,0.0,UODAotGLRXc
935,0.9996,0.051,0.836,0.113,UOwCT2fyCL8
936,0.9034,0.0,0.983,0.017,UR6vYXiUT0c
937,0.7887,0.072,0.672,0.256,UScJYeviG38
938,0.0,0.0,1.0,0.0,USuUKBaBTGo
939,0.9041,0.0,0.984,0.016,UUQo_kaim3M
940,0.0,0.0,1.0,0.0,UbR9XvY4FBk
941,1.0,0.039,0.642,0.319,UcIlk1tNWsE
942,0.0,0.0,1.0,0.0,Ue133_fk2kc
943,0.0,0.0,1.0,0.0,Uhe2C8wapIQ
944,0.7131,0.0,0.993,0.007,Uik_nvx6o5M
945,0.8257,0.0,0.997,0.003,UmGPRXrG-RA
946,0.994,0.018,0.958,0.024,Unoif6J5zX8
947,-0.9988,0.076,0.92,0.004,UooFw9BCmh8
948,0.9996,0.062,0.695,0.243,Up54qhjjdWQ
949,-1.0,0.099,0.815,0.086,Uq1R79sZATY
950,0.0,0.0,1.0,0.0,UqQMV4mLdPc
951,0.9516,0.012,0.956,0.032,UrUseBj4ERE
952,0.872,0.0,0.953,0.047,Urss_KqFeQ8
953,0.7685,0.0,0.938,0.062,V1Oxj39feRg
954,0.9986,0.013,0.909,0.078,V1wNRkhkQHM
955,0.9841,0.032,0.923,0.046,V4cL8bg1gyI
956,0.3331,0.001,0.997,0.002,V7fA2I3tZFA
957,0.8708,0.045,0.901,0.054,V90GuPc5yR0
958,0.9994,0.043,0.781,0.176,V9wvUSoys_k
959,0.9967,0.013,0.935,0.052,VA3UzHz1CLM
960,-0.9845,0.052,0.933,0.015,VCdeHyE0Jbc
961,1.0,0.071,0.759,0.171,VKqC5w207O4
962,0.796,0.014,0.965,0.021,VNOJipeERwA
963,-0.8612,0.043,0.92,0.038,VOMzCtJNoMM
964,0.9999,0.066,0.65,0.284,VPEgA0Myh7Y
965,-0.9954,0.059,0.924,0.017,VRUjdlCynU0
966,-0.6517,0.008,0.988,0.005,VSPKohrqUsA
967,0.9971,0.079,0.805,0.116,VV4RZBLozcg
968,0.8329,0.007,0.985,0.008,VZYIfSlfILc
969,0.8403,0.037,0.874,0.09,V_ocMD1vwE0
970,0.982,0.004,0.959,0.037,V_pA1blfv2I
971,0.9433,0.014,0.949,0.037,VaVmnW4duL0
972,0.0,0.0,1.0,0.0,VaesUxJxv2o
973,0.9983,0.034,0.919,0.047,VmVR-YwXS8g
974,0.9993,0.095,0.742,0.163,VqNnPti8ewI
975,0.9725,0.0,0.984,0.016,Vwom-TVUGOY
976,0.0,0.0,1.0,0.0,VyCi_PY43rI
977,-0.9901,0.072,0.877,0.051,VzWjmY6-D10
978,0.0,0.0,1.0,0.0,W-VHbftRmi0
979,0.7293,0.0,0.994,0.006,W-ZARauLKc8
980,0.9663,0.021,0.953,0.026,W0PdXa4xTls
981,0.9969,0.025,0.893,0.082,W0afcoFpkT8
982,-0.9856,0.023,0.97,0.007,W2Gv8JQwpOU
983,0.9942,0.009,0.913,0.078,W8hFSx_7uj0
984,0.798,0.0,0.978,0.022,WA9-DuoOVtw
985,-0.7576,0.021,0.966,0.013,WAhFIS58PWI
986,0.9998,0.048,0.8,0.152,WEYlrKYx1L4
